variable,M_female,SD_female,M_male,SD_male,t,df,p,cohens_d
Perceived Value,3.88,0.67,3.85,0.86,0.18,72.8,0.858,0.04
AI Literacy,2.74,0.77,2.82,0.91,-0.45,68.7,0.653,-0.1
Technical Self-Efficacy,3.29,0.84,3.2,0.9,0.44,63.8,0.659,0.1
Ethical Concern,3.87,0.64,3.28,0.83,3.59,73.4,0.001,0.76
Ethical Governance,4.44,0.65,4.19,0.94,1.47,78.3,0.145,0.3
Institutional Support,2.5,0.76,2.71,0.81,-1.15,63.9,0.253,-0.26
Perceived Barriers,3.67,0.66,3.41,0.8,1.65,70.6,0.104,0.35
Adoption intention,3.9,1.06,3.76,1.23,0.55,67.6,0.584,0.12
Dehumanization (single item),3.63,1.3,2.93,1.46,2.28,66.3,0.026,0.5
