predictor,beta,se,t,p,ci_low,ci_high,boot_ci_low,boot_ci_high,hc3_se,hc3_p,vif
Perceived Value,0.603,0.113,5.33,0.0,0.378,0.829,0.334,0.864,0.143,0.0001,2.33
Technical Self-Efficacy,0.285,0.117,2.43,0.0174,0.052,0.519,0.055,0.535,0.13,0.0309,2.5
AI Literacy,-0.257,0.107,-2.4,0.0189,-0.47,-0.044,-0.479,-0.058,0.109,0.0212,2.08
Academic semester,0.177,0.082,2.17,0.0328,0.015,0.34,0.027,0.342,0.082,0.0347,1.21
Ethical Concern,0.188,0.104,1.81,0.0749,-0.019,0.395,0.011,0.373,0.093,0.0477,1.96
Ethical Governance,-0.067,0.104,-0.65,0.5196,-0.275,0.14,-0.301,0.189,0.134,0.6164,1.97
Institutional Support,0.052,0.092,0.57,0.5692,-0.13,0.235,-0.102,0.206,0.076,0.4945,1.53
Perceived Barriers,-0.051,0.102,-0.5,0.6167,-0.255,0.152,-0.209,0.119,0.085,0.5459,1.9
